,Cities,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,ushuaia,-54.81,-68.31,19.05,100,0,3.13
1,vychegodskiy,61.25,46.88,73.14,62,0,9.95
2,belushya guba,,,,,,
3,meylan,45.21,5.78,60.8,93,0,5.82
4,ozgon,,,,,,
5,hermanus,-34.42,19.24,51.27,94,64,2.01
6,rikitea,-23.12,-134.97,74.49,99,88,17.67
7,vaini,15.34,74.49,71.61,99,92,8.61
8,carnarvon,-30.97,22.13,36.33,82,0,8.16
9,mataura,-46.19,168.86,51.54,84,64,7.72
10,puerto ayora,-0.74,-90.35,71.16,100,88,15.43
11,ribeira grande,38.52,-28.7,71.52,100,48,13.65
12,woodward,36.43,-99.39,88.11,35,40,8.05
13,barrow,-38.31,-60.23,42.18,95,88,27.29
14,coquimbo,-29.95,-71.34,48.2,57,0,3.36
15,dolbeau,,,,,,
16,hobyo,5.35,48.53,77.64,74,32,20.13
17,valdivia,-39.81,-73.25,48.2,81,90,8.05
18,arrecife,,,,,,
19,bredasdorp,-34.53,20.04,48.2,93,68,5.82
20,wahran,,,,,,
21,new norfolk,-42.78,147.06,51.8,53,75,8.05
22,busselton,-33.64,115.35,62.43,100,32,26.62
23,bluff,-23.58,149.07,72.42,23,0,6.15
24,hilo,19.71,-155.08,71.37,61,75,3.36
25,ust-omchug,61.13,149.63,71.43,35,8,3.36
26,sibolga,1.74,98.78,78.99,73,88,3.36
27,avarua,-21.21,-159.78,75.2,83,75,13.87
28,nelson bay,-32.72,152.14,60.8,29,0,11.41
29,labuhan,-2.54,115.51,84.84,70,56,3.91
30,barentsburg,,,,,,
31,punta arenas,-53.16,-70.91,24.8,92,0,5.82
32,saint-philippe,45.36,-73.48,70.2,68,1,4.7
33,tuatapere,-46.13,167.69,52.26,91,36,13.09
34,dunedin,-45.87,170.5,52.53,62,0,14.43
35,nanortalik,60.14,-45.24,39.3,97,92,8.39
36,raisinghnagar,29.54,73.45,98.43,65,12,4.36
37,marzuq,14.4,46.47,87.45,22,88,5.93
38,rio verde de mato grosso,-18.92,-54.84,63.24,65,8,7.38
39,lisakovsk,52.55,62.49,73.41,60,80,17.56
40,san andres,13.32,122.68,84.3,99,8,27.07
41,portland,45.52,-122.67,67.75,40,1,18.34
42,yanam,16.73,82.22,83.85,84,68,22.26
43,tiksi,71.64,128.87,45.24,63,12,13.98
44,kaitangata,-46.28,169.85,52.17,65,68,11.74
45,klaksvik,62.23,-6.59,48.2,100,56,5.82
46,longyearbyen,78.22,15.63,37.32,100,92,1.9
47,albany,42.65,-73.75,66.07,56,20,8.05
48,aklavik,68.22,-135.01,57.2,76,75,8.05
49,dikson,73.51,80.55,45.15,94,100,16.22
50,lac du bonnet,50.25,-96.06,61.26,81,0,7.49
51,te anau,-45.41,167.72,45.6,93,48,12.08
52,fairbanks,64.84,-147.72,73.99,40,20,4.7
53,bubaque,11.28,-15.83,80.43,100,80,13.53
54,hobart,-42.88,147.33,51.8,53,75,8.05
55,cape town,-33.93,18.42,48.2,93,76,4.7
56,severo-kurilsk,50.68,156.12,51.72,96,92,11.41
57,louisbourg,,,,,,
58,meulaboh,4.14,96.13,82.77,100,92,4.14
59,xai-xai,-25.04,33.64,65.13,100,32,3.13
60,arlit,18.74,7.39,75.57,57,0,11.18
61,reshetnikovo,56.45,36.57,71.34,99,56,6.93
62,tsihombe,,,,,,
63,pop,40.87,71.1,87.8,27,0,9.17
64,amderma,,,,,,
65,birao,10.3,22.78,72.78,95,56,9.62
